singlish,english
Chinese teacher last time use wooden ruler smack table one.,Chinese teacher used to slam the wooden ruler on the table to scare us.
"Now everything must scan QR code, last time just write name.",Nowadays you scan QR codes — in the past we just wrote down names.
He pour soy sauce until the rice drown already.,He poured so much soy sauce the rice was practically drowning.
"Don't bluff ah, I see your face already know.",Don't lie — I can tell just by looking at your face.
"You better bring ang pow go house visit, empty-handed cannot lah.",You should bring red packets when visiting someone's home — don't go empty-handed.
She ask me to remove shoes but floor oily like kopi tiam.,She told me to remove my shoes but her floor felt like a greasy coffee shop.
Every reunion dinner someone sure say I get fat.,"Every reunion dinner, someone always says I've gained weight."
Eh your house got cockroach parade going on ah?,Is there a cockroach parade happening in your house?
"I kena caught sneaking out during remedial, teacher got eagle eye.",I got caught sneaking out during remedial — the teacher had eagle eyes.
Every time go ICA confirm bring wrong form one.,"Every time I go to ICA, I bring the wrong form."
My kopi uncle can remember whole order but my name he call me 'boy' forever.,The coffee shop uncle remembers every order but always calls me ‘boy' instead of my name.
Auntie scold son in four languages at once — power.,That auntie scolded her son in four languages simultaneously — amazing.
"Your face like kena sai, what happen?",You look like crap — what happened?
"Last week go void deck wedding, got lion dance until ah ma cannot nap.",There was a lion dance at a void deck wedding last week — grandma couldn't nap at all.
You go toilet never flush is it? Wah lau eh.,"Did you not flush the toilet? Come on, man."
"Primary school last time got to clean classroom, now kids got cleaner.",We had to clean our classrooms in primary school — now they have cleaners.
"She mix Milo with ice cream, call it float. I call it diabetes.",She mixes Milo and ice cream and calls it a float — I call that diabetes.
I kena kena from boss for sending email to wrong 'Alex'.,I got scolded by my boss for sending the email to the wrong 'Alex'.
"Go mosque Friday pray must go early, else kena shoe jampacked.","For Friday prayers at the mosque, you have to go early or your shoes get squeezed in a pile."
That time queue for bak chor mee longer than clinic.,That time the queue for minced meat noodles was longer than at the clinic.
"Don't anyhow fold the joss paper, later ancestor cannot use.",Don't fold the prayer offerings incorrectly — the ancestors might not accept it.
"Uncle still use Nokia phone, say smartphone too cheem.",Uncle still uses a Nokia phone — says smartphones are too complicated.
"Aunty sell nasi lemak only on Sunday, then disappear like magician.",Auntie only sells nasi lemak on Sundays — then disappears like a magician.
"Go East Coast, kena wind until hair like rooster.",Went to East Coast — the wind messed up my hair like a rooster.
"My grandma last time boil barley water like medicine, force all of us drink.",My grandma used to boil barley water like it's medicine — forced all of us to drink it.
"He say eat steamboat must use own sauce mix, no share.",He insists on making his own sauce mix for steamboat — won't share.
"Your kopi peng no kick one, I rather go 7-Eleven buy canned.",Your iced coffee has no punch — I'd rather buy canned coffee from 7-Eleven.
School assembly last time stand under sun until can roast.,School assembly used to be under the hot sun — we were practically roasting.
